zone_class,zoning_description,golf_acres,county_total_acres,pct_zone_as_golf
Resort,Resort District,130.44455969392996,513.7158699023363,25.392355451025693
P-2,P-2 General Preservation District,3209.3606944761023,17259.56697487969,18.594676790832253
B-1,B-1 Neighborhood Business District,13.22264927188635,399.1228155902556,3.3129274387212395
F-1,F-1 Federal and Military Preservation District,1002.0150991923637,38560.99973545718,2.598519504334847
C,Country District,60.85136744169916,3254.3270279456124,1.8698602481912623
AG-2,AG-2 General Agriculture District,621.8431631326663,41759.85359956964,1.4890932547212636
R-20,R-20 Residential District,3.083827766966422,521.1611618548832,0.5917224829246026
P-1,P-1 Restricted Preservation District,744.6255827951873,157429.26306461825,0.4729905789430959
AG-1,AG-1 Restricted Agriculture District,213.81498867110412,63462.21322155239,0.33691700591130735
A-2,A-2 Medium-density Apartment District,8.755002939568252,2930.2153800039055,0.2987835979332203
BMX-3,BMX-3 Community Business Mixed Use District,5.070574497710874,2130.2990314539634,0.23802172478340403
B-2,B-2 Community Business District,3.465045761649878,1656.3708421009537,0.20919504700135794
R-5,R-5 Residential District,33.731718266842705,26650.633793860903,0.12657004155230622
A-1,A-1 Low-density Apartment District,3.617156985780232,3275.8781381935387,0.11041793477015263
R-3.5,R-3.5 Residential District,1.770596411994163,1735.0788865175437,0.1020470265503551
R-10,R-10 Residential District,3.9971483999229025,5022.655330040657,0.07958237500423003
R-7.5,R-7.5 Residential District,4.415217364755903,6340.985260633237,0.06962983169456194
IMX-1,IMX-1 Industrial Mixed Use District,0.4164796080168291,1119.8773411739494,0.03718975219020328
I-2,I-2 Intensive Industrial District,1.7237398965958022,6111.261643880716,0.02820595806631524
