Category,County_Type,Pooled_Acres,SD_Between,CI_95_Lower_Acres,CI_95_Upper_Acres,CI_99_Lower_Acres,CI_99_Upper_Acres
National Total,All,2305064.26,5483.9546,2294262.1,2315866.42,2290867.13,2319261.38
By County Type,Urban,1703295.26,4075.2741,1695267.89,1711322.64,1692745.0,1713845.53
By County Type,Rural,601769.0,3157.073,595550.27,607987.72,593595.81,609942.18
