course_id,acreage,holes,course_type,longitude,latitude,state,state_land_value
86,141.4705654,18,Public,-86.358914,33.334061,AL,34754.54545
87,91.85027854,18,Municipal,-88.310005,31.073651,AL,34754.54545
88,63.1724562,9,Public,-86.609619,32.81974,AL,34754.54545
89,60.13742767,18,Public,-86.605427,33.169582,AL,34754.54545
90,NA,18,Public,-87.134163,33.791068,AL,34754.54545
91,NA,18,Municipal,-87.351811,34.670338,AL,34754.54545
92,292.987846,18,Public,-85.306541,31.226876,AL,34754.54545
93,123.5691239,18,Semi Private,-86.889256,34.224233,AL,34754.54545
94,NA,18,Public,-86.670194,34.249113,AL,34754.54545
95,NA,18,Public,-85.805971,32.745816,AL,34754.54545
96,260.5558067,27,Semi Private,-87.895203,30.649638,AL,34754.54545
97,NA,18,Public,-88.11597,30.247426,AL,34754.54545
98,NA,18,Municipal,-86.930105,34.545337,AL,34754.54545
99,92.26070192,18,Private,-86.96625,34.567514,AL,34754.54545
100,78.12939948,18,Semi Private,-86.933742,34.518897,AL,34754.54545
101,NA,18,Public,-87.049833,34.561342,AL,34754.54545
102,103.7117939,18,Public,-86.931083,34.494825,AL,34754.54545
103,NA,18,Municipal,-87.791047,32.486124,AL,34754.54545
104,129.5710026,18,Private,-87.859405,32.499999,AL,34754.54545
105,211.9278734,18,Municipal,-87.058918,33.750913,AL,34754.54545
106,119.4479965,18,Private,-85.417632,31.22387,AL,34754.54545
107,174.2777578,18,Public,-85.404517,31.120801,AL,34754.54545
108,NA,18,Public,-85.421542,31.15937,AL,34754.54545
109,NA,36,Public,-85.49638,31.226907,AL,34754.54545
110,NA,9,Public,-85.49638,31.226907,AL,34754.54545
111,NA,9,Municipal,-88.168015,30.756027,AL,34754.54545
112,NA,9,Private,-86.097119,31.437234,AL,34754.54545
113,NA,18,Public,-87.547564,30.403182,AL,34754.54545
114,NA,18,Public,-86.956142,33.792773,AL,34754.54545
115,157.3978559,18,Private,-85.831816,31.360296,AL,34754.54545
116,243.6969969,18,Public,-85.879854,31.312646,AL,34754.54545
117,210.2230475,18,Municipal,-85.114176,31.98767,AL,34754.54545
118,125.0282523,18,Private,-85.172012,31.88752,AL,34754.54545
119,NA,18,Public,-85.157631,31.821922,AL,34754.54545
120,51.6442864,9,Municipal,-87.938072,32.852601,AL,34754.54545
121,78.84464709,9,Public,-86.887753,31.43712,AL,34754.54545
122,47.4731317,18,Municipal,-87.844066,30.513396,AL,34754.54545
123,NA,18,Public,-87.88837,30.573041,AL,34754.54545
124,NA,9,Private,-87.872075,33.685932,AL,34754.54545
125,169.5803108,18,Public,-85.658124,34.824072,AL,34754.54545
126,154.989153,18,Municipal,-87.630083,34.861748,AL,34754.54545
127,96.31083735,18,Private,-87.714906,34.810585,AL,34754.54545
128,422.2163903,27,Public,-87.637127,30.364024,AL,34754.54545
129,73.837752,18,Public,-87.682934,30.357377,AL,34754.54545
130,NA,9,Public,-87.768043,30.381983,AL,34754.54545
131,61.21748264,9,Private,-85.694491,34.462253,AL,34754.54545
132,168.9924043,18,Private,-85.687898,34.509586,AL,34754.54545
133,224.5673109,54,Public,-85.692736,31.352046,AL,34754.54545
134,NA,18,Municipal,-85.985059,34.025973,AL,34754.54545
135,127.3907529,18,Private,-86.012825,33.975807,AL,34754.54545
136,NA,18,Public,-85.986479,34.01053,AL,34754.54545
137,165.1825564,18,Public,-86.781718,33.660967,AL,34754.54545
138,NA,9,Public,-85.862528,31.028007,AL,34754.54545
