course_id,acreage,holes,course_type,longitude,latitude,state,state_land_value
10194,242.40438099606877,18,Private,-105.617369,33.410572,NM,61200
10195,NA,18,Private,-105.607179,33.435036,NM,61200
10196,343.7264341076686,18,Public,-105.288409,36.3743,NM,61200
10197,43.259218499366,9,Semi Private,-106.651492,32.022638,NM,61200
10198,125.93296801357126,18,Public,-106.598618,32.019175,NM,61200
10199,157.2999561894069,18,Private,-104.429819,32.85709,NM,61200
10200,NA,18,Public,-108.046562,36.894314,NM,61200
10201,132.6611518373775,18,Public,-106.725728,34.638924,NM,61200
10202,265.3376265382822,54,Public,-106.564498,35.334935,NM,61200
10203,334.929190651288,18,Public,-106.547108,35.350983,NM,61200
10204,114.51113485625918,18,Public,-103.320794,34.40302,NM,61200
10205,143.79553185918795,27,Municipal,-104.217355,32.429311,NM,61200
10206,109.60938588812915,18,Semi Private,-104.248731,32.445132,NM,61200
10207,NA,9,Public,-105.880894,33.652815,NM,61200
10208,NA,9,Public,-103.163469,36.45084,NM,61200
10209,60.003338784505786,9,Public,-105.743709,32.95214,NM,61200
10210,73.03503872618333,9,Public,-105.65978,32.885487,NM,61200
10211,75.60796997397253,18,Municipal,-103.179031,34.410392,NM,61200
10212,81.31851875858791,18,Public,-103.192318,34.441089,NM,61200
10213,252.77482433251,18,Public,-106.351941,35.665092,NM,61200
10214,137.8998257163214,18,Public,-107.733085,32.268411,NM,61200
10215,NA,18,Public,-107.220127,33.170468,NM,61200
10216,NA,18,Public,-106.06354,35.962765,NM,61200
10217,NA,9,Municipal,-103.196629,32.44291,NM,61200
10218,20.021105879502095,9,Municipal,-108.202063,36.750275,NM,61200
10219,197.46978356446436,18,Municipal,-108.179163,36.769904,NM,61200
10220,131.58379270732655,18,Private,-108.127856,36.782792,NM,61200
10221,189.93866231709703,18,Municipal,-108.72154,35.514144,NM,61200
10222,317.20121629268704,18,Municipal,-107.804181,35.146583,NM,61200
10223,220.88752081820687,18,Municipal,-103.198219,32.77718,NM,61200
10224,180.54038418064803,18,Private,-103.203547,32.696454,NM,61200
10225,NA,9,Semi Private,-106.077177,32.837218,NM,61200
10226,NA,9,Public,-103.193364,32.11642,NM,61200
10227,NA,18,Semi Private,-106.563549,35.045465,NM,61200
10228,NA,18,Public,-108.343802,36.743802,NM,61200
10229,112.47869012803176,18,Semi Private,-106.868658,32.313528,NM,61200
10230,NA,18,Semi Private,-106.780064,32.334745,NM,61200
10231,NA,18,Public,-106.745853,32.278922,NM,61200
10232,NA,18,Public,-106.736913,32.340928,NM,61200
10233,160.76381769400032,9,Public,-105.218796,35.611554,NM,61200
10234,NA,18,Municipal,-106.310775,35.899984,NM,61200
10235,124.88877972133126,18,Private,-103.320457,32.938596,NM,61200
10236,NA,18,Public,-105.676985,33.301303,NM,61200
10237,NA,18,Municipal,-107.84087,35.249693,NM,61200
10238,109.3819463020843,9,Private,-103.386958,34.1818,NM,61200
10239,219.57883903929803,18,Public,-105.655813,36.355768,NM,61200
10240,60.27017712380373,9,Public,-104.464653,36.889144,NM,61200
10241,NA,36,Semi Private,-106.671245,35.248449,NM,61200
10242,NA,18,Public,-105.409934,35.841021,NM,61200
10243,142.2852458706367,18,Municipal,-104.546165,33.400857,NM,61200
10244,125.19156048586946,18,Private,-104.492604,33.424515,NM,61200
10245,135.85651084425513,18,Public,-104.525337,33.416119,NM,61200
10246,36.92319235304981,9,Private,-105.674823,33.349511,NM,61200
10247,172.66023050000726,18,Public,-105.667362,33.342469,NM,61200
10248,152.6391128618452,18,Public,-105.663534,33.355689,NM,61200
10249,NA,54,Public,-106.313305,35.20799,NM,61200
10250,99.85535354482172,27,Municipal,-106.067244,35.668606,NM,61200
10251,38.07850028500267,9,Private,-105.931274,35.643514,NM,61200
10252,115.14781579365628,36,Semi Private,-106.057417,35.716501,NM,61200
10253,276.1650380182914,36,Public,-105.997537,35.863704,NM,61200
10254,162.40958500311248,18,Public,-106.051125,35.630099,NM,61200
10255,66.1566434803506,9,Municipal,-104.655403,34.949498,NM,61200
10256,NA,36,Semi Private,-106.624249,31.84666,NM,61200
10257,121.01457278403664,9,Municipal,-108.269249,32.738537,NM,61200
10258,136.814377568861,18,Public,-106.916972,34.066635,NM,61200
10259,NA,9,Public,-105.378316,36.372259,NM,61200
10260,181.26652041991775,9,Public,-105.694528,32.633532,NM,61200
10261,61.84566985490383,9,Municipal,-107.257252,33.141991,NM,61200
10262,NA,9,Municipal,-103.669682,35.171371,NM,61200
10263,128.25900219173133,9,Semi Private,-103.519906,35.342653,NM,61200
10264,NA,9,Public,-106.490849,32.383314,NM,61200
10265,81.5806405775229,9,Municipal,-116.967359,40.620847,NV,87945.45454545454
10266,446.6696243247725,54,Municipal,-114.859497,35.960795,NV,87945.45454545454
10267,167.64512251628744,18,Municipal,-114.843827,35.958546,NV,87945.45454545454
10268,279.985757659036,18,Public,-114.893318,35.970888,NV,87945.45454545454
10269,145.80566696529982,36,Municipal,-119.709664,39.196568,NV,87945.45454545454
10270,NA,18,Private,-119.773178,39.116698,NV,87945.45454545454
10271,165.4419098104724,18,Public,-119.778333,39.191394,NV,87945.45454545454
10272,242.1589923224225,18,Public,-119.769581,39.081895,NV,87945.45454545454
10273,214.98437099703676,54,Public,-119.715415,39.177078,NV,87945.45454545454
10274,450.1715855293477,18,Public,-114.925767,36.797853,NV,87945.45454545454
10275,321.0090989342157,18,Public,-119.565711,39.241859,NV,87945.45454545454
10276,148.53593326036264,18,Municipal,-115.761989,40.854452,NV,87945.45454545454
10277,96.42185507407603,18,Municipal,-114.855414,39.266667,NV,87945.45454545454
10278,NA,9,Public,-119.336352,40.573973,NV,87945.45454545454
10279,56.0804090175982,9,Public,-118.814338,39.48518,NV,87945.45454545454
10280,12.835173259066998,18,Public,-119.149795,39.584943,NV,87945.45454545454
10281,161.17334294550025,18,Public,-119.720705,38.912584,NV,87945.45454545454
10282,NA,36,Public,-119.84613,39.007808,NV,87945.45454545454
10283,356.4364494916895,18,Public,-119.841279,39.01257,NV,87945.45454545454
10284,NA,9,Private,-119.940844,39.072425,NV,87945.45454545454
10285,55.71482128982601,9,Private,-119.938255,39.090859,NV,87945.45454545454
10286,NA,9,Public,-118.624627,38.525255,NV,87945.45454545454
10287,136.28141802236377,18,Municipal,-115.07828,36.056451,NV,87945.45454545454
10288,413.6627822459791,18,Private,-115.082238,35.966233,NV,87945.45454545454
10289,202.7889529366014,18,Semi Private,-115.046334,36.009682,NV,87945.45454545454
10290,226.105784212602,18,Semi Private,-114.916175,36.10475,NV,87945.45454545454
10291,4.982679977721056,18,Public,-115.111807,35.976758,NV,87945.45454545454
10292,8.487782892224343,36,Public,-115.101883,35.953713,NV,87945.45454545454
10293,312.14674818043784,18,Public,-115.083169,36.034248,NV,87945.45454545454
10294,71.8047934854697,18,Public,-115.076297,36.004986,NV,87945.45454545454
10295,NA,54,Public,-114.97367,36.020246,NV,87945.45454545454
10296,177.43223441812182,18,Public,-114.966824,36.075455,NV,87945.45454545454
10297,18.46117868554548,18,Public,-114.932193,36.087166,NV,87945.45454545454
10298,83.62687979616229,18,Public,-114.926635,36.109639,NV,87945.45454545454
10299,165.39784978396608,36,Municipal,-119.943177,39.254472,NV,87945.45454545454
10300,35.8094430941688,18,Municipal,-119.952553,39.268567,NV,87945.45454545454
10301,194.29838397670895,18,Municipal,-114.661849,41.98784,NV,87945.45454545454
10302,134.453656498813,45,Public,-115.28682,36.173842,NV,87945.45454545454
10303,375.648964386396,54,Public,-115.294526,36.168,NV,87945.45454545454
10304,129.81542851152906,18,Public,-115.174661,36.083926,NV,87945.45454545454
10305,107.20768433061636,18,Public,-115.335163,36.120164,NV,87945.45454545454
10306,43.187286156232304,9,Public,-115.172621,36.066695,NV,87945.45454545454
10307,196.25500187177593,18,Semi Private,-115.285214,36.14903,NV,87945.45454545454
10308,101.2010009874145,18,Public,-115.099723,36.173378,NV,87945.45454545454
10309,143.48317928877586,18,Municipal,-115.055258,36.143726,NV,87945.45454545454
10310,78.20769890390655,18,Public,-115.279131,36.223948,NV,87945.45454545454
