course_name,city,state,street_address,zip_code,holes,course_type,final_acreage,acreage_source,longitude,latitude
Whispering Pines,Myrtle Beach,SC,2112 S Kings Hwy,29577-4822,18,Municipal,,No Match Found,-78.909936,33.671796
The Dunes Golf & Beach Club,Myrtle Beach,SC,9000 N Ocean Blvd,29572-4424,18,Private,238.7813074343155,OSM (Medium Reliability),-78.796783,33.756321
The Members Club,Myrtle Beach,SC,1580 Terra Verde Dr,29579-5252,18,Semi Private,295.84727106219106,OSM (Medium Reliability),-78.800037,33.782159
Heron Point Golf Club,Myrtle Beach,SC,6980 Blue Heron Blvd,29588-6466,18,Public,,No Match Found,-79.056911,33.651433
Island Green Golf Club,Myrtle Beach,SC,600 Sunnehanna Dr,29588-5332,18,Public,,No Match Found,-79.05623,33.64342
Burning Ridge Golf Course,Myrtle Beach,SC,500 Burning Ridge Rd,29577,18,Public,74.611280662631,OSM (Medium Reliability),-79.003602,33.775648
The Legends Golf Complex,Myrtle Beach,SC,1500 Legends Rd,29579-6808,54,Public,739.3694408397083,OSM (Medium Reliability),-79.003047,33.743308
Wicked Stick Golf Links,Myrtle Beach,SC,1051 Coventry Rd,29575-5382,18,Public,,No Match Found,-78.985921,33.643256
Wild Wing Plantation,Myrtle Beach,SC,Highway 501 North,29578,18,Public,58.53045701512804,OSM (Medium Reliability),-78.981261,33.786703
The Wizard,Myrtle Beach,SC,4601 W Leeshire Blvd,29579-1230,18,Public,377.933919653459,OSM (Medium Reliability),-78.960112,33.77336
Man O'War,Myrtle Beach,SC,5601 E Leeshire Blvd,29579-1231,18,Public,377.933919653459,OSM (Medium Reliability),-78.9587081,33.7711799
Arrowhead Country Club,Myrtle Beach,SC,1201 Burcale Rd,29579-8353,54,Public,,No Match Found,-78.952397,33.712117
Midway Par 3,Myrtle Beach,SC,3101 S Kings Hwy,29577-4880,36,Public,32.698980222997655,OSM (Medium Reliability),-78.921704,33.662732
World Tour Golf Links,Myrtle Beach,SC,2000 World Tour Blvd,29579-6230,27,Public,224.20867459077107,OSM (Medium Reliability),-78.909182,33.7354
River Oaks Golf Plantation,Myrtle Beach,SC,831 River Oaks Dr,29579-7227,54,Public,275.1666725901876,OSM (Medium Reliability),-78.899297,33.735576
Myrtlewood Golf Club,Myrtle Beach,SC,1500 48th Avenue Ext N,29577-8701,36,Public,257.76151813997734,OSM (Medium Reliability),-78.871425,33.737711
Pine Lakes Int'l Country Club,Myrtle Beach,SC,5603 Woodside Ave,29577-2262,18,Public,169.4197475448634,OSM (Medium Reliability),-78.842612,33.731582
Cane Patch Par 3 Golf Course & Driving Range,Myrtle Beach,SC,7201 N Kings Hwy,29572-3028,18,Public,60.44992771958266,OSM (Medium Reliability),-78.822503,33.743915
Grande Dunes Golf Club,Myrtle Beach,SC,8700 Golf Village Ln,29579-5100,18,Public,373.2416303678311,OSM (Medium Reliability),-78.818765,33.767378
Arcadian Shores Golf Club,Myrtle Beach,SC,701 Hilton Rd,29572-6610,18,Public,179.5444196779644,OSM (Medium Reliability),-78.775242,33.779135
Myrtle Beach National Golf Course,Myrtle Beach,SC,4900 National Dr,29579-7212,54,Public,69.42265462120912,OSM (Medium Reliability),-78.966143,33.789141
Prestwick Country Club,Myrtle Beach,SC,1001 Links Rd,29575-5808,18,Public,324.8168714050819,OSM (Medium Reliability),-78.961483,33.643076
Waterway Hills Golf Club,Myrtle Beach,SC,9731 Highway 17 N,29578,45,Public,,No Match Found,-78.788911,33.781559
New Ellenton Golf Course,New Ellenton,SC,301 Fairway Dr,29809-3602,9,Public,,No Match Found,-81.696629,33.423392
Newberry Country Club,Newberry,SC,414 Country Club Rd,29108-1436,18,Public,126.03477917683422,OSM (Medium Reliability),-81.65019,34.303133
Pineland Country Club,Nichols,SC,5050 Country Club Ct,29581-6017,18,Public,,No Match Found,-79.180721,34.242974
The Golf Club At Star Fort,Ninety Six,SC,2816 Golf Course Rd,29666-9120,18,Private,144.5492304434645,OSM (Medium Reliability),-82.052475,34.160667
The Patriot Golf Club At Grand Harbor,Ninety Six,SC,101 Grand Harbor Blvd,29666-8785,18,Semi Private,96.94398126298184,OSM (Medium Reliability),-81.968826,34.206918
North Augusta Country Club,North Augusta,SC,2001 Gregory Lake Rd,29860-9642,18,Semi Private,,No Match Found,-81.979187,33.559946
Mount Vintage Plantation & Golf Club,North Augusta,SC,375 Mount Vintage Plantation Dr,29860-8365,36,Public,,No Match Found,-81.974093,33.673087
The River Golf Club,North Augusta,SC,307 Riverside Blvd,29841-4199,18,Public,196.4619800996073,OSM (Medium Reliability),-81.971266,33.487182
Coosaw Creek Country Club,North Charleston,SC,4110 Club Course Dr,29420-7520,18,Public,301.19439374666626,OSM (Medium Reliability),-80.109794,32.938336
Surf Golf & Beach Club,North Myrtle Beach,SC,1701 Springland Ln,29582-2662,18,Private,,No Match Found,-78.654104,33.82856
Barefoot Resort and Golf Club,North Myrtle Beach,SC,4980 Barefoot Resort Bridge Rd,29582-9361,54,Public,40.806917360022815,OSM (Medium Reliability),-78.763954,33.800697
Azalea Sands Golf Club,North Myrtle Beach,SC,2100 Highway 17 S,29582-4252,18,Public,299.5234466328685,OSM (Medium Reliability),-78.709778,33.809929
Possum Trot Golf Course,North Myrtle Beach,SC,1170 Possum Trot Rd,29582-3647,18,Public,299.5234466328685,OSM (Medium Reliability),-78.700013,33.819781
Beachwood Golf Club,North Myrtle Beach,SC,1520 Highway 17 S,29582-3906,18,Public,299.5234466328685,OSM (Medium Reliability),-78.699703,33.814275
Tidewater Country Club,North Myrtle Beach,SC,1400 Tidewater Dr,29582-8603,18,Public,,No Match Found,-78.625816,33.853588
Barefoot Resort Dye,North Myrtle Beach,SC,2600 Pete Dye Drive,29582,18,Public,15.203458523338828,OSM (Medium Reliability),-78.749314,33.810285
Oldfield Golf Club,Okatie,SC,9 Oldfield,29909-4024,18,Private,,No Match Found,-80.923407,32.346216
Chechessee Creek Club,Okatie,SC,18 Cheechessee Creek Dr,29909-3836,18,Semi Private,323.8411658063408,OSM (Medium Reliability),-80.855719,32.351226
Hillcrest Golf Club,Orangeburg,SC,1280 State A & M Road,29115,18,Municipal,157.17586021786704,OSM (Medium Reliability),-80.850447,33.525723
Orangeburg Country Club,Orangeburg,SC,2745 Griffith Dr,29118-4083,18,Semi Private,183.26762961820344,OSM (Medium Reliability),-80.903237,33.511199
White Plains Country Club,Pageland,SC,4816 White Plains Church Rd,29728-5423,18,Public,,No Match Found,-80.418529,34.71062
The Legends At Parris Island,Parris Island,SC,Building 299,29905,18,Public,,No Match Found,-80.678931,32.349765
The Reserve Golf Club,Pawleys Island,SC,18 Reserve Drive,29585,18,Private,282.8147081611379,OSM (Medium Reliability),-79.117533,33.496251
Heritage Club,Pawleys Island,SC,478 Heritage Dr,29585-6843,18,Public,345.5243583459902,OSM (Medium Reliability),-79.160683,33.445726
Caledonia Golf & Fish Club,Pawleys Island,SC,369 Caledonia Drive,29585,18,Public,146.70269329518774,OSM (Medium Reliability),-79.155963,33.452345
True Blue Plantation,Pawleys Island,SC,900 Blue Stem Dr,29585-7842,18,Public,245.77065627063251,OSM (Medium Reliability),-79.147992,33.441271
