TMK,dominant_zone_class,golf_clipped_acres,recorded_area_acres,course_name,expected_taxable,dominant_zone_description,geometry_reproduced_this_run
91090158,AG-1,0.016875682005019946,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91063112,AG-1,0.016323275838420255,NA,West Loch Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089033,AG-1,0.01569862566210629,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089060,AG-1,0.015464380224487378,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090001,AG-1,0.015349165022780411,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089028,AG-1,0.014454887778084433,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089034,AG-1,0.014204806016017089,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91055098,AG-1,0.014186494700892605,NA,West Loch Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91095001,AG-1,0.013559319855389383,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090023,AG-1,0.013554532804973509,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089047,AG-1,0.012646247015732822,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089035,AG-1,0.012614636234439912,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090025,AG-1,0.012179340806521345,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089039,AG-1,0.012092102519555923,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090026,AG-1,0.011991493376529667,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090027,AG-1,0.01181190733275343,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090028,AG-1,0.011632084937755341,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089040,AG-1,0.011493332083323756,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91055099,AG-1,0.011455594183835592,NA,West Loch Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090029,AG-1,0.011450762111598295,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090043,AG-1,0.011430869689482457,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090030,AG-1,0.01126859211682368,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090031,AG-1,0.011088903081271678,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
