Category,County_Type,Pooled_Acres,SD_Between,CI_95_Lower_Acres,CI_95_Upper_Acres,CI_99_Lower_Acres,CI_99_Upper_Acres
National Total,All,2308702.56,3977.4873,2300867.81,2316537.32,2298405.46,2318999.67
By County Type,Urban,1705879.87,3268.9628,1699440.75,1712318.99,1697417.02,1714342.72
By County Type,Rural,602822.69,3114.72,596687.39,608957.99,594759.16,610886.23
