Category,County_Type,Pooled_Acres,SD_Between,CI_95_Lower_Acres,CI_95_Upper_Acres,CI_99_Lower_Acres,CI_99_Upper_Acres
National Total,All,2.31255919e6,2460.2066,2.30771314e6,2.31740525e6,2.30619009e6,2.31892829e6
By County Type,Urban,1.7104776e6,1708.178,1.70711288e6,1.71384233e6,1.70605539e6,1.71489982e6
By County Type,Rural,602081.59,1674.0586,598784.07,605379.11,597747.7,606415.47
