Category,County_Type,Pooled_Acres,SD_Between,CI_95_Lower_Acres,CI_95_Upper_Acres,CI_99_Lower_Acres,CI_99_Upper_Acres
National Total,All,2304275.89,4183.9352,2296034.47,2312517.3,2293444.32,2315107.46
By County Type,Urban,1705652.71,3266.3853,1699218.66,1712086.76,1697196.54,1714108.89
By County Type,Rural,598623.18,2816.0527,593076.19,604170.17,591332.85,605913.51
