Category,County_Type,Pooled_Acres,SD_Between,CI_95_Lower_Acres,CI_95_Upper_Acres,CI_99_Lower_Acres,CI_99_Upper_Acres
National Total,All,2.29090437e6,6439.5237,2.27821996e6,2.30358879e6,2.27423343e6,2.30757532e6
By County Type,Urban,1.70409671e6,4460.0916,1.69531133e6,1.71288209e6,1.69255021e6,1.71564321e6
By County Type,Rural,586807.66,3953.9531,579019.26,594596.06,576571.48,597043.85
