OBJECTID,ZONE_,SECTION_,PLAT,ZSP,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,Shape__Area,Shape__Length
2714,1,4,016,14016,,,GIS_EDITOR,4/1/2021 6:03:20 PM,9cd76680-c020-47e1-bfbc-9ff02590668b,1224248.27733612,6385.3684753343
2715,9,1,021,91021,,,GIS_EDITOR,7/6/2020 10:16:22 PM,b95d88ed-9f86-49fb-ba4d-09768354d34e,565658.283203125,7244.66717462194
2716,9,4,099,94099,,,GIS_EDITOR,10/15/2020 7:43:10 PM,5e8382d5-d047-4808-b3d0-3ae942093685,3020098.44711304,8169.78320442313
2717,9,1,019,91019,,,GIS_EDITOR,7/6/2020 10:16:22 PM,a8b25f64-5f63-4642-a8dd-f45aff7b7c57,545507.536193848,8918.89178105231
2718,5,1,003,51003,GIS_EDITOR,2/18/2021 7:09:39 PM,GIS_EDITOR,2/18/2021 7:21:26 PM,db9b5004-ae65-4f62-a167-eacb8ec78a61,2041800.95732117,10361.6876507709
2719,1,3,009,13009,,,GIS_EDITOR,9/18/2020 1:55:49 AM,4c938e22-2e91-49d8-a35f-4f78b1ec767a,812008.351493835,4756.94855189419
2720,1,3,013,13013,,,GIS_EDITOR,8/19/2020 9:10:01 PM,bad89373-0699-4822-a80c-ff71e0613ddf,320202.404159546,3760.50222676921
2721,5,2,002,52002,GIS_EDITOR,2/18/2021 7:23:36 PM,GIS_EDITOR,2/18/2021 7:25:16 PM,1b64e76d-ca91-4558-a8cc-24fb4cf50841,51621316.2512665,45816.9682236428
2722,7,2,001,72001,,,GIS_EDITOR,2/18/2021 7:21:26 PM,0f092c36-232e-426e-bd8e-df615d28abc3,222544214.476242,93503.4723648936
2723,9,4,001,94001,,,GIS_EDITOR,7/6/2020 10:16:23 PM,4fc2c596-e525-4d3f-975b-e6e503de5c40,1785993.51716614,15814.5675544288
2724,5,2,001,52001,,,GIS_EDITOR,2/18/2021 7:23:50 PM,8a1f0ef6-6e81-4e15-a993-0a205482ad6a,59.8087310791016,3662.6961119267
2725,5,3,001,53001,,,GIS_EDITOR,2/18/2021 7:33:41 PM,bfb3871a-cd90-49d8-89e4-ec840a74600f,3362985.87931824,10516.2575222846
2726,5,5,006,55006,GIS_EDITOR,1/8/2021 11:17:15 PM,GIS_EDITOR,1/8/2021 11:20:41 PM,0328a6bc-9085-47be-b553-666e79344ff0,26393107.2319031,49065.3510676876
2727,9,1,087,91087,,,GIS_EDITOR,2/4/2021 7:54:06 PM,1d61557c-8571-4ed8-94c4-6d6c4330789b,1073919.65943909,4493.03483734419
2728,9,1,150,91150,,,GIS_EDITOR,2/4/2021 7:49:27 PM,139dbbc5-db42-4db6-bb66-1fd5de063174,556173.537940979,4100.79416951489
2729,9,1,144,91144,,,GIS_EDITOR,9/18/2020 1:14:30 AM,d9a6117c-5ea3-467f-b6aa-9e4f89aa7ca4,749717.280708313,3727.56021404724
2730,9,1,121,91121,,,GIS_EDITOR,2/4/2021 7:49:27 PM,f2ea4506-d931-4f8d-9e37-7dd71d79d30d,1099413.17464447,4722.37383784818
2731,9,1,141,91141,,,GIS_EDITOR,2/4/2021 7:49:27 PM,90cd8da9-d59e-4a95-8598-6efb294e30ef,1218001.75314331,5878.09476045874
2732,8,7,002,87002,,,GIS_EDITOR,7/1/2020 6:54:54 PM,50288abd-ed95-4d3f-b469-77d7f559b8af,542613.238647461,5280.62916021436
2733,9,1,100,91100,,,GIS_EDITOR,2/4/2021 7:54:06 PM,1a3d4dcd-8659-4126-885f-5adc2e3f00c5,695599.847206116,3615.11133407426
2734,9,1,132,91132,,,GIS_EDITOR,2/4/2021 7:49:27 PM,795a9779-68d8-4e01-bd6b-941a3e9b93ab,1767705.76245117,7682.02650939758
2735,9,1,089,91089,,,GIS_EDITOR,2/4/2021 8:04:20 PM,4b7145b2-143e-413a-974e-c270afa4f58a,853185.786102295,3813.57705170939
2736,5,9,003,59003,,,GIS_EDITOR,10/26/2020 10:44:56 PM,7932dbd5-381e-471e-9947-56dcca91664e,1694298.93008423,9902.57731547374
2737,5,5,004,55004,,,GIS_EDITOR,7/7/2020 12:33:10 AM,94be9fed-d39c-486b-97ca-c36345a41dfe,6140414,31405.6044070069
2738,9,1,046,91046,,,GIS_EDITOR,2/4/2021 8:04:20 PM,c7b6169e-f4dd-4269-bfae-aa63f8fbe213,664733.900718689,6225.0410177871
2739,2,3,034,23034,,,GIS_EDITOR,7/31/2020 9:37:35 PM,aab80711-4683-4250-a449-4fcf1b64ad51,514828.760215759,3260.78828768602
2740,9,2,043,92043,,,GIS_EDITOR,7/31/2020 10:13:30 PM,52e53252-9712-40a6-a0b7-70daa9c799e3,12474658.0398865,20246.1617729872
2741,1,7,039,17039,,,GIS_EDITOR,8/1/2020 1:32:39 AM,ac162f80-5b2d-48b0-a2fc-63a2ffc10059,335874.851356506,2886.01199694071
2742,9,1,063,91063,,,GIS_EDITOR,7/6/2020 10:16:22 PM,29f6061e-d2b0-4ed6-aea5-c8ce95f68dbc,1032082.61470795,4673.38419889707
2743,9,1,020,91020,,,GIS_EDITOR,7/6/2020 10:16:22 PM,a6bf259e-8c28-49f8-86d6-2a10d981eb50,664507.929481506,4916.86720310909
2744,1,4,001,14001,,,GIS_EDITOR,9/4/2020 1:57:26 AM,aa324bd3-19da-4dc4-81aa-9636192c098f,865462.64806366,4348.62522430317
2745,4,5,016,45016,,,GIS_EDITOR,1/8/2021 1:06:38 AM,e32a91bb-9e80-4c43-a077-ec57b4db3fa2,708479.689163208,3727.58610237976
2746,9,4,048,94048,,,GIS_EDITOR,7/6/2020 10:16:22 PM,bd3bb458-140c-4438-bd79-559de5def5e2,3204569.35606384,10955.875756209
2747,1,4,002,14002,,,GIS_EDITOR,8/5/2020 11:08:00 PM,f7b73024-65ce-4a57-9406-46554f74e75c,858605.170539856,3682.48425421801
2748,2,3,021,23021,,,GIS_EDITOR,10/9/2020 9:19:29 PM,da21dcdd-cb96-406d-b618-6ce6191fec8f,929470.863990784,3819.39139373821
2749,4,5,104,45104,,,SDE,1/14/2021 2:53:39 AM,73f41fbe-2360-4ca7-a7f4-b22eebf4cfe8,1093247.41273499,5474.12708475688
2750,2,2,010,22010,,,GIS_EDITOR,10/28/2020 7:16:46 PM,677fd1a3-43a7-4795-9263-55a911e3d5f7,723281.012733459,3710.92741376075
2751,2,8,009,28009,,,SDE,8/25/2020 10:48:51 PM,193b3cc4-f1af-4f5b-a78f-5dc1051c90cc,637150.45110321,3417.50243101625
