Category,County_Type,Pooled_Acres,SD_Between,CI_95_Lower_Acres,CI_95_Upper_Acres,CI_99_Lower_Acres,CI_99_Upper_Acres
National Total,All,2.29557444e6,5715.015,2.28431714e6,2.30683174e6,2.28077914e6,2.31036975e6
By County Type,Urban,1.70844511e6,3907.0977,1.700749e6,1.71614121e6,1.69833023e6,1.71855999e6
By County Type,Rural,587129.33,4179.0414,578897.56,595361.11,576310.43,597948.24
